"batsman","total_runs","boundary_run","boundary_percentage"
"SP Narine","892","724","81.17"
"AD Russell","1517","1194","78.71"
"CH Gayle","4772","3630","76.07"
"ST Jayasuriya","768","570","74.22"
"AC Gilchrist","2069","1508","72.89"
"V Sehwag","2728","1972","72.29"
"DR Smith","2385","1682","70.52"
"CA Lynn","1280","890","69.53"
"Harbhajan Singh","829","568","68.52"
"SR Watson","3874","2644","68.25"
